yourlist:M20220122F248CABF64506F29A91F8037F07B67D13DFE271	Entry	Entry name	Status	Protein names	Gene names	Organism	Length	Gene ontology (GO)	Gene ontology IDs
PFX21759.1	A0A2B4RY84	A0A2B4RY84_STYPI	unreviewed	Pogo transposable element with KRAB domain	POGK AWC38_SpisGene13760	Stylophora pistillata (Smooth cauliflower coral)	1115	DNA binding [GO:0003677]; transposase activity [GO:0004803]; transposition, DNA-mediated [GO:0006313]	GO:0003677; GO:0004803; GO:0006313
PFX13273.1	A0A2B4R8X5	A0A2B4R8X5_STYPI	unreviewed	Microtubule-associated tumor suppressor 1-like	mtus1 AWC38_SpisGene22653	Stylophora pistillata (Smooth cauliflower coral)	1244		
PFX13896.1	A0A2B4R9R8	A0A2B4R9R8_STYPI	unreviewed	Uncharacterized protein	AWC38_SpisGene21991	Stylophora pistillata (Smooth cauliflower coral)	443		
PFX11439.1	A0A2B4R3S2	A0A2B4R3S2_STYPI	unreviewed	AP-2 complex subunit alpha-2 (Fragment)	Ap2a2 AWC38_SpisGene24829	Stylophora pistillata (Smooth cauliflower coral)	315	clathrin adaptor complex [GO:0030131]; intracellular protein transport [GO:0006886]; vesicle-mediated transport [GO:0016192]	GO:0006886; GO:0016192; GO:0030131
RMX45146.1	A0A3M6TUW5	A0A3M6TUW5_POCDA	unreviewed	TyrKc domain-containing protein	pdam_00016496	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	1157	integral component of membrane [GO:0016021]; protein tyrosine kinase activity [GO:0004713]	GO:0004713; GO:0016021
PFX17830.1	A0A2B4RMT8	A0A2B4RMT8_STYPI	unreviewed	BTB/POZ domain-containing protein 6	Btbd6 AWC38_SpisGene17830	Stylophora pistillata (Smooth cauliflower coral)	943	cytoplasm [GO:0005737]	GO:0005737
PFX30908.1	A0A2B4SQM7	A0A2B4SQM7_STYPI	unreviewed	Proto-oncogene tyrosine-protein kinase receptor Ret	Ret AWC38_SpisGene4300	Stylophora pistillata (Smooth cauliflower coral)	766	ATP binding [GO:0005524]; protein kinase activity [GO:0004672]	GO:0004672; GO:0005524
QTM01743.1	A0A8A7KVB7	A0A8A7KVB7_9PAST	unreviewed	Adhesin	GM698_09185	Mannheimia sp. ZY171111	1360		
PFX25496.1	A0A2B4S7Y5	A0A2B4S7Y5_STYPI	unreviewed	Lipase maturation factor	LMF2 AWC38_SpisGene9838	Stylophora pistillata (Smooth cauliflower coral)	768	endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]	GO:0005789; GO:0016021
PFX24529.1	A0A2B4S658	A0A2B4S658_STYPI	unreviewed	Kelch-like protein 2	KLHL2 AWC38_SpisGene10893	Stylophora pistillata (Smooth cauliflower coral)	620		
PFX13290.1	A0A2B4R9W3	A0A2B4R9W3_STYPI	unreviewed	Retrovirus-related Pol polyprotein	pol AWC38_SpisGene22634	Stylophora pistillata (Smooth cauliflower coral)	309		
EDO31324.1	A7SY87	A7SY87_NEMVE	unreviewed	GPN-loop GTPase 3	v1g137669	Nematostella vectensis (Starlet sea anemone)	271	GTP binding [GO:0005525]; GTPase activity [GO:0003924]	GO:0003924; GO:0005525
RUA04597.1	A0A432I2Z5	A0A432I2Z5_9GAMM	unreviewed	HECT domain-containing protein	DSY43_06010	Gammaproteobacteria bacterium	721	ubiquitin-protein transferase activity [GO:0004842]	GO:0004842
QNH72485.1	A0A7G7WYZ6	A0A7G7WYZ6_9CNID	unreviewed	Toxin candidate TRINITY_DN25898_c0_g1_i1		Pachycerianthus borealis	530		
NWI49090.1	A0A851BXW9	A0A851BXW9_CALVR	unreviewed	CO7A1 protein (Fragment)	Col7a1 CALVIR_R01493	Calyptomena viridis (Lesser green broadbill)	2962		
PFX18165.1	A0A2B4RPH8	A0A2B4RPH8_STYPI	unreviewed	Receptor protein-tyrosine kinase (EC 2.7.10.1)	Ret AWC38_SpisGene17489	Stylophora pistillata (Smooth cauliflower coral)	2365	membrane [GO:0016020]; ATP binding [GO:0005524]; transmembrane receptor protein tyrosine kinase activity [GO:0004714]	GO:0004714; GO:0005524; GO:0016020
PFX30765.1	A0A2B4SQU3	A0A2B4SQU3_STYPI	unreviewed	EGF-like repeat and discoidin I-like domain-containing protein 3	EDIL3 AWC38_SpisGene4434	Stylophora pistillata (Smooth cauliflower coral)	2478	DNA binding [GO:0003677]; metal ion binding [GO:0046872]	GO:0003677; GO:0046872
QMS47767.1	A0A7D7PSL3	A0A7D7PSL3_FIMAN	unreviewed	Baculoviral IAP repeat-containing protein-like protein		Fimbriaphyllia ancora (Hammer coral) (Euphyllia ancora)	140		
PFX33722.1	A0A2B4SYS2	A0A2B4SYS2_STYPI	unreviewed	T-lymphoma invasion and metastasis-inducing protein 1	TIAM1 AWC38_SpisGene1355	Stylophora pistillata (Smooth cauliflower coral)	1466	guanyl-nucleotide exchange factor activity [GO:0005085]; activation of GTPase activity [GO:0090630]; small GTPase mediated signal transduction [GO:0007264]	GO:0005085; GO:0007264; GO:0090630
PFX13653.1	A0A2B4RA15	A0A2B4RA15_STYPI	unreviewed	Cell surface glycoprotein 1	olpB AWC38_SpisGene22245	Stylophora pistillata (Smooth cauliflower coral)	199		
RMX53282.1	A0A3M6UHY9	A0A3M6UHY9_POCDA	unreviewed	Uncharacterized protein	pdam_00015261	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	300		
PFX24511.1	A0A2B4S3P3	A0A2B4S3P3_STYPI	unreviewed	Histone H3	2 AWC38_SpisGene10883	Stylophora pistillata (Smooth cauliflower coral)	290	nucleosome [GO:0000786]; DNA binding [GO:0003677]; protein heterodimerization activity [GO:0046982]; nucleosome assembly [GO:0006334]	GO:0000786; GO:0003677; GO:0006334; GO:0046982
RMX49447.1	A0A3M6U738	A0A3M6U738_POCDA	unreviewed	Uncharacterized protein	pdam_00013356	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	1731	integral component of membrane [GO:0016021]; G protein-coupled receptor activity [GO:0004930]; cell surface receptor signaling pathway [GO:0007166]	GO:0004930; GO:0007166; GO:0016021
PFX23751.1	A0A2B4S1G7	A0A2B4S1G7_STYPI	unreviewed	RNA-directed DNA polymerase from mobile element jockey	pol AWC38_SpisGene11664	Stylophora pistillata (Smooth cauliflower coral)	1555	RNA-directed DNA polymerase activity [GO:0003964]	GO:0003964
RMX36769.1	A0A3M6T640	A0A3M6T640_POCDA	unreviewed	Uncharacterized protein	pdam_00008992	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	1022	integral component of membrane [GO:0016021]	GO:0016021
PFX18518.1	A0A2B4RQC4	A0A2B4RQC4_STYPI	unreviewed	Uncharacterized protein	AWC38_SpisGene17102	Stylophora pistillata (Smooth cauliflower coral)	95		
PFX23178.1	A0A2B4S3P2	A0A2B4S3P2_STYPI	unreviewed	PUL domain-containing protein	AWC38_SpisGene12264	Stylophora pistillata (Smooth cauliflower coral)	297		
GBG69947.1	A0A388KIU2	A0A388KIU2_CHABU	unreviewed	Uncharacterized protein	CBR_g4774	Chara braunii (Braun's stonewort)	1467		
PFX31339.1	A0A2B4SQF5	A0A2B4SQF5_STYPI	unreviewed	Uncharacterized protein	AWC38_SpisGene3869	Stylophora pistillata (Smooth cauliflower coral)	259		
REJ61967.1	A0A3E0MR30	A0A3E0MR30_9BACT	unreviewed	Electron transfer flavoprotein subunit alpha/FixB family protein	DWQ21_08235	Bacteroidetes bacterium	312	electron transfer activity [GO:0009055]; flavin adenine dinucleotide binding [GO:0050660]	GO:0009055; GO:0050660
RMX41243.1	A0A3M6TIJ1	A0A3M6TIJ1_POCDA	unreviewed	Exocyst complex component Sec8	pdam_00012384	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	990	exocyst [GO:0000145]; Golgi to plasma membrane transport [GO:0006893]; protein targeting to membrane [GO:0006612]; vesicle docking involved in exocytosis [GO:0006904]; vesicle tethering involved in exocytosis [GO:0090522]	GO:0000145; GO:0006612; GO:0006893; GO:0006904; GO:0090522
PFX22565.1	A0A2B4S254	A0A2B4S254_STYPI	unreviewed	Isocitrate dehydrogenase [NAD] subunit, mitochondrial	AWC38_SpisGene12921	Stylophora pistillata (Smooth cauliflower coral)	490	mitochondrion [GO:0005739]; nucleosome [GO:0000786]; DNA binding [GO:0003677]; isocitrate dehydrogenase (NAD+) activity [GO:0004449]; magnesium ion binding [GO:0000287]; NAD binding [GO:0051287]; protein heterodimerization activity [GO:0046982]; tricarboxylic acid cycle [GO:0006099]	GO:0000287; GO:0000786; GO:0003677; GO:0004449; GO:0005739; GO:0006099; GO:0046982; GO:0051287
RMX38826.1	A0A3M6TBQ0	A0A3M6TBQ0_POCDA	unreviewed	Uncharacterized protein	pdam_00013965	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	230	integral component of membrane [GO:0016021]	GO:0016021
RMX44858.1	A0A3M6TU96	A0A3M6TU96_POCDA	unreviewed	Uncharacterized protein (Fragment)	pdam_00020314	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	714	integral component of membrane [GO:0016021]; mannosyltransferase activity [GO:0000030]	GO:0000030; GO:0016021
RMX50555.1	A0A3M6UA50	A0A3M6UA50_POCDA	unreviewed	Uncharacterized protein	pdam_00008769	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	613	integral component of membrane [GO:0016021]; G protein-coupled receptor activity [GO:0004930]	GO:0004930; GO:0016021
GCB79470.1	A0A401Q286	A0A401Q286_SCYTO	unreviewed	Uncharacterized protein (Fragment)	scyTo_0020782	Scyliorhinus torazame (Cloudy catshark)	488		
PFX34442.1	A0A2B4T0X4	A0A2B4T0X4_STYPI	unreviewed	Uncharacterized protein	AWC38_SpisGene696	Stylophora pistillata (Smooth cauliflower coral)	966	metal ion binding [GO:0046872]; nucleic acid binding [GO:0003676]; DNA integration [GO:0015074]; intracellular signal transduction [GO:0035556]	GO:0003676; GO:0015074; GO:0035556; GO:0046872
PFX32216.1	A0A2B4SS82	A0A2B4SS82_STYPI	unreviewed	Uncharacterized protein	AWC38_SpisGene2967	Stylophora pistillata (Smooth cauliflower coral)	635		
PFX20109.1	A0A2B4RTG3	A0A2B4RTG3_STYPI	unreviewed	Putative RNA-directed DNA polymerase from transposon BS	RTase AWC38_SpisGene15455	Stylophora pistillata (Smooth cauliflower coral)	706	RNA-directed DNA polymerase activity [GO:0003964]	GO:0003964
QNL15292.1	A0A7G8Z9Y3	A0A7G8Z9Y3_LITLI	unreviewed	Ras-related C3 botulinum toxin substrate 1	RAC1	Littorina littorea (Common periwinkle)	192	GTP binding [GO:0005525]; GTPase activity [GO:0003924]; small GTPase mediated signal transduction [GO:0007264]	GO:0003924; GO:0005525; GO:0007264
PHY13712.1	A0A2G4JSE8	A0A2G4JSE8_9CAUL	unreviewed	Uncharacterized protein	CSW58_03930	Caulobacter sp. B11	950		
RMX39675.1	A0A3M6TE49	A0A3M6TE49_POCDA	unreviewed	UBC core domain-containing protein	pdam_00008073	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	327		
AUL80833.1	A0A3G1LRQ8	A0A3G1LRQ8_9VIRU	unreviewed	Uncharacterized protein	PPLV_0003	Pleurochrysis sp. Polinton-like virus	1377		
RMX41982.1	A0A3M6TKR2	A0A3M6TKR2_POCDA	unreviewed	Uncharacterized protein	pdam_00001317	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	92	endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]; protein transport [GO:0015031]	GO:0005789; GO:0015031; GO:0016021
PKL90991.1	A0A2N1W2N8	A0A2N1W2N8_9BACT	unreviewed	PUM-HD domain-containing protein (Fragment)	CVV21_09300	Candidatus Goldbacteria bacterium HGW-Goldbacteria-1	1135	RNA binding [GO:0003723]	GO:0003723
PFX27016.1	A0A2B4SCB4	A0A2B4SCB4_STYPI	unreviewed	Importin subunit beta	Fs(2)Ket AWC38_SpisGene8294	Stylophora pistillata (Smooth cauliflower coral)	857	cytoplasm [GO:0005737]; small GTPase binding [GO:0031267]; protein import into nucleus [GO:0006606]	GO:0005737; GO:0006606; GO:0031267
PFX15202.1	A0A2B4RG12	A0A2B4RG12_STYPI	unreviewed	Tyr recombinase domain-containing protein	AWC38_SpisGene20591	Stylophora pistillata (Smooth cauliflower coral)	1183	DNA binding [GO:0003677]; DNA integration [GO:0015074]; DNA recombination [GO:0006310]	GO:0003677; GO:0006310; GO:0015074
PFX34920.1	A0A2B4T1A0	A0A2B4T1A0_STYPI	unreviewed	C2H2-type domain-containing protein	AWC38_SpisGene58	Stylophora pistillata (Smooth cauliflower coral)	771		
EDO41930.1	A7S348	A7S348_NEMVE	unreviewed	Predicted protein	v1g206043	Nematostella vectensis (Starlet sea anemone)	833	integral component of membrane [GO:0016021]; ATP binding [GO:0005524]; ATPase-coupled transmembrane transporter activity [GO:0042626]	GO:0005524; GO:0016021; GO:0042626
RMX55072.1	A0A3M6UN68	A0A3M6UN68_POCDA	unreviewed	MATH domain-containing protein	pdam_00023214	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	379	zinc ion binding [GO:0008270]	GO:0008270
HCP40478.1	A0A3D3XNA8	A0A3D3XNA8_9FLAO	unreviewed	DUF3308 domain-containing protein	DIT65_01680	Cryomorphaceae bacterium	347		
PFX20023.1	A0A2B4RT88	A0A2B4RT88_STYPI	unreviewed	Uncharacterized protein	AWC38_SpisGene15550	Stylophora pistillata (Smooth cauliflower coral)	89	integral component of membrane [GO:0016021]	GO:0016021
PFX23261.1	A0A2B4S035	A0A2B4S035_STYPI	unreviewed	Hexosyltransferase (EC 2.4.1.-)	CSGALNACT2 AWC38_SpisGene12208	Stylophora pistillata (Smooth cauliflower coral)	760	Golgi cisterna membrane [GO:0032580]; integral component of membrane [GO:0016021]; acetylgalactosaminyltransferase activity [GO:0008376]	GO:0008376; GO:0016021; GO:0032580
PFX33453.1	A0A2B4SWI9	A0A2B4SWI9_STYPI	unreviewed	Uncharacterized protein	AWC38_SpisGene1730	Stylophora pistillata (Smooth cauliflower coral)	423	integral component of membrane [GO:0016021]	GO:0016021
PFX28219.1	A0A2B4SGJ6	A0A2B4SGJ6_STYPI	unreviewed	Transmembrane protease serine 2	Tmprss2 AWC38_SpisGene7038	Stylophora pistillata (Smooth cauliflower coral)	3704	integral component of membrane [GO:0016021]; serine-type endopeptidase activity [GO:0004252]	GO:0004252; GO:0016021
RMX43406.1	A0A3M6TPX3	A0A3M6TPX3_POCDA	unreviewed	DNA-directed DNA polymerase (EC 2.7.7.7)	pdam_00022673	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	440	DNA binding [GO:0003677]; DNA-directed DNA polymerase activity [GO:0003887]; nucleotide binding [GO:0000166]; DNA replication [GO:0006260]	GO:0000166; GO:0003677; GO:0003887; GO:0006260
RMX51803.1	A0A3M6UDP4	A0A3M6UDP4_POCDA	unreviewed	Uncharacterized protein	pdam_00019279	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	1765	membrane [GO:0016020]; hydrolase activity [GO:0016787]; scavenger receptor activity [GO:0005044]	GO:0005044; GO:0016020; GO:0016787
GBG77532.1	A0A388L5L2	A0A388L5L2_CHABU	unreviewed	Uncharacterized protein	CBR_g23977	Chara braunii (Braun's stonewort)	1854	nucleosome [GO:0000786]; DNA binding [GO:0003677]; nucleosome assembly [GO:0006334]	GO:0000786; GO:0003677; GO:0006334
RMX46271.1	A0A3M6TY49	A0A3M6TY49_POCDA	unreviewed	Uncharacterized protein	pdam_00000518	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	192		
PFX28262.1	A0A2B4SIF0	A0A2B4SIF0_STYPI	unreviewed	Transmembrane protease serine 2	Tmprss2 AWC38_SpisGene7042	Stylophora pistillata (Smooth cauliflower coral)	2851	integral component of membrane [GO:0016021]; serine-type endopeptidase activity [GO:0004252]	GO:0004252; GO:0016021
RMX40575.1	A0A3M6TGP6	A0A3M6TGP6_POCDA	unreviewed	Guanine nucleotide-binding protein subunit gamma	pdam_00016581	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	66	heterotrimeric G-protein complex [GO:0005834]; G-protein beta-subunit binding [GO:0031681]; G protein-coupled receptor signaling pathway [GO:0007186]	GO:0005834; GO:0007186; GO:0031681
PFX17227.1	A0A2B4RLJ6	A0A2B4RLJ6_STYPI	unreviewed	Uncharacterized protein	AWC38_SpisGene18457	Stylophora pistillata (Smooth cauliflower coral)	312		
TRY67296.1	A0A553NPE1	A0A553NPE1_TIGCA	unreviewed	Collagen IV NC1 domain-containing protein	TCAL_03088	Tigriopus californicus (Marine copepod)	1833	basement membrane [GO:0005604]; collagen trimer [GO:0005581]; integral component of membrane [GO:0016021]; extracellular matrix structural constituent [GO:0005201]	GO:0005201; GO:0005581; GO:0005604; GO:0016021
RMX51310.1	A0A3M6UCB1	A0A3M6UCB1_POCDA	unreviewed	Lysine--2-oxoglutarate reductase (EC 1.5.1.7) (Saccharopine dehydrogenase [NAD(+), L-lysine-forming])	pdam_00004686	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	377	saccharopine dehydrogenase (NAD+, L-lysine-forming) activity [GO:0004754]; lysine biosynthetic process via aminoadipic acid [GO:0019878]	GO:0004754; GO:0019878
ELK34820.1	L5M966	L5M966_MYODS	unreviewed	Female-lethal(2)D homolog (Pre-mRNA-splicing regulator WTAP) (WT1-associated protein) (Wilms tumor 1-associating protein)	MDA_GLEAN10018858	Myotis davidii (David's myotis)	498	nucleus [GO:0005634]; mRNA methylation [GO:0080009]; mRNA processing [GO:0006397]; regulation of alternative mRNA splicing, via spliceosome [GO:0000381]; RNA splicing [GO:0008380]	GO:0000381; GO:0005634; GO:0006397; GO:0008380; GO:0080009
CAF1138280.1	A0A814RTA5	A0A814RTA5_9BILA	unreviewed	Hypothetical protein	GPM918_LOCUS20552	Didymodactylos carnosus	681		
PFX31792.1	A0A2B4STA4	A0A2B4STA4_STYPI	unreviewed	Pogo transposable element with KRAB domain	POGK AWC38_SpisGene3406	Stylophora pistillata (Smooth cauliflower coral)	245	DNA binding [GO:0003677]	GO:0003677
KUF08979.1	A0A0W7WEB1	A0A0W7WEB1_9RHOB	unreviewed	Uncharacterized protein	AVJ23_20025	Ponticoccus marisrubri	1065		
EFB18699.1	D2HTX9	D2HTX9_AILME	unreviewed	Uncharacterized protein (Fragment)	PANDA_015680	Ailuropoda melanoleuca (Giant panda)	2904	collagen trimer [GO:0005581]; serine-type endopeptidase inhibitor activity [GO:0004867]; cell adhesion [GO:0007155]	GO:0004867; GO:0005581; GO:0007155
RMX42967.1	A0A3M6TNJ5	A0A3M6TNJ5_POCDA	unreviewed	Tripeptidyl-peptidase 2 (EC 3.4.14.10)	pdam_00001759	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	1199	aminopeptidase activity [GO:0004177]; serine-type endopeptidase activity [GO:0004252]; tripeptidyl-peptidase activity [GO:0008240]	GO:0004177; GO:0004252; GO:0008240
RMX58291.1	A0A3M6UXB0	A0A3M6UXB0_POCDA	unreviewed	Uncharacterized protein	pdam_00000237	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	100		
RMX61347.1	A0A3M6V622	A0A3M6V622_POCDA	unreviewed	Uncharacterized protein	pdam_00024698	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	1154	ubiquitin-protein transferase activity [GO:0004842]	GO:0004842
EDO44141.1	A7RWK5	A7RWK5_NEMVE	unreviewed	Predicted protein	v1g95883	Nematostella vectensis (Starlet sea anemone)	73	integral component of membrane [GO:0016021]	GO:0016021
RMX57163.1	A0A3M6UTZ1	A0A3M6UTZ1_POCDA	unreviewed	Protein kinase domain-containing protein	pdam_00022591	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	1119	ATP binding [GO:0005524]; protein kinase activity [GO:0004672]	GO:0004672; GO:0005524
RMX41213.1	A0A3M6TIG2	A0A3M6TIG2_POCDA	unreviewed	General transcription factor IIF subunit 1 (Transcription initiation factor IIF subunit alpha)	pdam_00013236	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	893	nucleus [GO:0005634]; catalytic activity [GO:0003824]; DNA binding [GO:0003677]; positive regulation of transcription elongation from RNA polymerase II promoter [GO:0032968]; transcription initiation from RNA polymerase II promoter [GO:0006367]	GO:0003677; GO:0003824; GO:0005634; GO:0006367; GO:0032968
RMX49850.1	A0A3M6U856	A0A3M6U856_POCDA	unreviewed	JmjC domain-containing protein (Fragment)	pdam_00022432	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	739	integral component of membrane [GO:0016021]	GO:0016021
RMX44176.1	A0A3M6TS62	A0A3M6TS62_POCDA	unreviewed	SASA domain-containing protein (Fragment)	pdam_00002513	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	564	integral component of membrane [GO:0016021]; sialate O-acetylesterase activity [GO:0001681]	GO:0001681; GO:0016021
PFX13631.1	A0A2B4R7K8	A0A2B4R7K8_STYPI	unreviewed	Transposon Tf2-9 polyprotein	Tf2-9 AWC38_SpisGene22268	Stylophora pistillata (Smooth cauliflower coral)	860	nucleic acid binding [GO:0003676]; DNA integration [GO:0015074]	GO:0003676; GO:0015074
RMX50310.1	A0A3M6U9H6	A0A3M6U9H6_POCDA	unreviewed	Uncharacterized protein	pdam_00006916	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	5234	integral component of membrane [GO:0016021]; calcium ion binding [GO:0005509]; carbohydrate binding [GO:0030246]; scavenger receptor activity [GO:0005044]; cell adhesion [GO:0007155]	GO:0005044; GO:0005509; GO:0007155; GO:0016021; GO:0030246
PFX23869.1	A0A2B4S489	A0A2B4S489_STYPI	unreviewed	Uncharacterized protein	AWC38_SpisGene11577	Stylophora pistillata (Smooth cauliflower coral)	293		
PFX14949.1	A0A2B4RDR9	A0A2B4RDR9_STYPI	unreviewed	Uncharacterized protein	AWC38_SpisGene20860	Stylophora pistillata (Smooth cauliflower coral)	272		
PFX32303.1	A0A2B4STA0	A0A2B4STA0_STYPI	unreviewed	Trace amine-associated receptor 7h	Taar7h AWC38_SpisGene2844	Stylophora pistillata (Smooth cauliflower coral)	327	integral component of membrane [GO:0016021]; G protein-coupled receptor activity [GO:0004930]	GO:0004930; GO:0016021
PFX27694.1	A0A2B4SAJ5	A0A2B4SAJ5_STYPI	unreviewed	Uncharacterized protein	AWC38_SpisGene7585	Stylophora pistillata (Smooth cauliflower coral)	159		
RMX51016.1	A0A3M6UBT4	A0A3M6UBT4_POCDA	unreviewed	Uncharacterized protein	pdam_00018446	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	1244	nucleus [GO:0005634]; endonuclease activity [GO:0004519]; metal ion binding [GO:0046872]; single-stranded DNA binding [GO:0003697]; nucleotide-excision repair [GO:0006289]	GO:0003697; GO:0004519; GO:0005634; GO:0006289; GO:0046872
PFX25634.1	A0A2B4S4L0	A0A2B4S4L0_STYPI	unreviewed	RNA-directed DNA polymerase from mobile element jockey	jockey\pol AWC38_SpisGene9711	Stylophora pistillata (Smooth cauliflower coral)	592	RNA-directed DNA polymerase activity [GO:0003964]	GO:0003964
KAF9586952.1	A0A835GVK9	A0A835GVK9_9MAGN	unreviewed	Uncharacterized protein	IFM89_039824	Coptis chinensis	349		
ERE72243.1	A0A061HZK9	A0A061HZK9_CRIGR	unreviewed	E3 ubiquitin-protein ligase (EC 6.3.2.19)	H671_5g15174	Cricetulus griseus (Chinese hamster) (Cricetulus barabensis griseus)	1585	nucleus [GO:0005634]; dioxygenase activity [GO:0051213]; DNA binding [GO:0003677]; histone demethylase activity (H3-K9 specific) [GO:0032454]; metal ion binding [GO:0046872]; transferase activity [GO:0016740]; cell cycle [GO:0007049]; protein ubiquitination [GO:0016567]	GO:0003677; GO:0005634; GO:0007049; GO:0016567; GO:0016740; GO:0032454; GO:0046872; GO:0051213
RMX44544.1	A0A3M6TTI1	A0A3M6TTI1_POCDA	unreviewed	Uncharacterized protein	pdam_00006052	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	3630	membrane [GO:0016020]; calcium ion binding [GO:0005509]; G protein-coupled receptor activity [GO:0004930]	GO:0004930; GO:0005509; GO:0016020
RMX58704.1	A0A3M6UYU7	A0A3M6UYU7_POCDA	unreviewed	Uncharacterized protein	pdam_00009503	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	2072	integral component of membrane [GO:0016021]; kidney development [GO:0001822]	GO:0001822; GO:0016021
PFX16117.1	A0A2B4RID0	A0A2B4RID0_STYPI	unreviewed	Putative RNA-directed DNA polymerase from transposon X-element	AWC38_SpisGene19630	Stylophora pistillata (Smooth cauliflower coral)	822	DNA binding [GO:0003677]; metal ion binding [GO:0046872]; RNA-directed DNA polymerase activity [GO:0003964]	GO:0003677; GO:0003964; GO:0046872
PFX15856.1	A0A2B4RFA7	A0A2B4RFA7_STYPI	unreviewed	Sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1	SVEP1 AWC38_SpisGene19902	Stylophora pistillata (Smooth cauliflower coral)	429	calcium ion binding [GO:0005509]	GO:0005509
RMX45382.1	A0A3M6TVF8	A0A3M6TVF8_POCDA	unreviewed	Elongator complex protein 1	pdam_00000849	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	1215	cytoplasm [GO:0005737]; elongator holoenzyme complex [GO:0033588]; nucleus [GO:0005634]; tRNA wobble uridine modification [GO:0002098]	GO:0002098; GO:0005634; GO:0005737; GO:0033588
KAF3850639.1	A0A7J5YPG3	A0A7J5YPG3_DISMA	unreviewed	Uncharacterized protein	F7725_012411	Dissostichus mawsoni (Antarctic cod)	511		
RMX40443.1	A0A3M6TGC2	A0A3M6TGC2_POCDA	unreviewed	Uncharacterized protein	pdam_00009468	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	2278		
EDO36285.1	A7SJ20	A7SJ20_NEMVE	unreviewed	Predicted protein	v1g120161	Nematostella vectensis (Starlet sea anemone)	149		
VDO46170.1	A0A0N4WMZ6	A0A0N4WMZ6_HAEPC	unreviewed	Uncharacterized protein	HPLM_LOCUS12610	Haemonchus placei (Barber's pole worm)	749		
PFX19595.1	A0A2B4RTM3	A0A2B4RTM3_STYPI	unreviewed	Forkhead box protein D4	FOXD4 AWC38_SpisGene15996	Stylophora pistillata (Smooth cauliflower coral)	515	nucleus [GO:0005634]; DNA-binding transcription factor activity [GO:0003700]; sequence-specific DNA binding [GO:0043565]	GO:0003700; GO:0005634; GO:0043565
RUA06482.1	A0A432I8U1	A0A432I8U1_9GAMM	unreviewed	Exonuclease domain-containing protein	DSY43_01905	Gammaproteobacteria bacterium	333	exonuclease activity [GO:0004527]; nucleic acid binding [GO:0003676]	GO:0003676; GO:0004527
RMX38835.1	A0A3M6TBR6	A0A3M6TBR6_POCDA	unreviewed	Uncharacterized protein	pdam_00013973	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	131		
RMX38043.1	A0A3M6T9N1	A0A3M6T9N1_POCDA	unreviewed	Uncharacterized protein	pdam_00020147	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	1172	signal transduction [GO:0007165]	GO:0007165
RMX37091.1	A0A3M6T6W3	A0A3M6T6W3_POCDA	unreviewed	Uncharacterized protein (Fragment)	pdam_00020055	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	313	calcium ion binding [GO:0005509]	GO:0005509
RMX43750.1	A0A3M6TQT3	A0A3M6TQT3_POCDA	unreviewed	Uncharacterized protein	pdam_00016470	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	60		
PFX15071.1	A0A2B4RBN9	A0A2B4RBN9_STYPI	unreviewed	Putative RNA-directed DNA polymerase from transposon X-element	AWC38_SpisGene20728	Stylophora pistillata (Smooth cauliflower coral)	681	RNA-directed DNA polymerase activity [GO:0003964]	GO:0003964
