yourlist:M20220121A084FC58F6BBA219896F365D15F2EB443D8165V	Entry	Entry name	Status	Protein names	Gene names	Organism	Length	Gene ontology (GO)	Gene ontology IDs
XP_001635037.1	A7S085	A7S085_NEMVE	unreviewed	Proteasome subunit beta	v1g99390	Nematostella vectensis (Starlet sea anemone)	205	cytoplasm [GO:0005737]; nucleus [GO:0005634]; proteasome core complex [GO:0005839]; proteasome core complex, beta-subunit complex [GO:0019774]; endopeptidase activity [GO:0004175]; threonine-type endopeptidase activity [GO:0004298]; proteasomal ubiquitin-independent protein catabolic process [GO:0010499]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]	GO:0004175; GO:0004298; GO:0005634; GO:0005737; GO:0005839; GO:0010499; GO:0019774; GO:0043161
XP_001632402.1	A7S7J0	A7S7J0_NEMVE	unreviewed	Predicted protein	v1g167406	Nematostella vectensis (Starlet sea anemone)	140	endoplasmic reticulum [GO:0005783]; Golgi membrane [GO:0000139]; integral component of membrane [GO:0016021]; membrane [GO:0016020]; vesicle-mediated transport [GO:0016192]	GO:0000139; GO:0005783; GO:0016020; GO:0016021; GO:0016192
XP_001641857.1	A7RFW8	A7RFW8_NEMVE	unreviewed	Ribonucleoside-diphosphate reductase (EC 1.17.4.1)	v1g158066	Nematostella vectensis (Starlet sea anemone)	810	ribonucleoside-diphosphate reductase complex [GO:0005971]; ATP binding [GO:0005524]; ribonucleoside-diphosphate reductase activity, thioredoxin disulfide as acceptor [GO:0004748]; deoxyribonucleotide biosynthetic process [GO:0009263]; DNA replication [GO:0006260]	GO:0004748; GO:0005524; GO:0005971; GO:0006260; GO:0009263
XP_031560490.1	A0A6P8I6Y5	A0A6P8I6Y5_ACTTE	unreviewed	uncharacterized protein LOC116296588	LOC116296588	Actinia tenebrosa (Australian red waratah sea anemone)	376	protein-arginine deiminase activity [GO:0004668]; putrescine biosynthetic process [GO:0009446]	GO:0004668; GO:0009446
XP_031562332.1	A0A6P8IAQ9	A0A6P8IAQ9_ACTTE	unreviewed	Ribosomal protein	LOC116298102	Actinia tenebrosa (Australian red waratah sea anemone)	216	large ribosomal subunit [GO:0015934]; RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	GO:0003723; GO:0003735; GO:0006412; GO:0015934
XP_019848627.1	A0A1X7VL33	A0A1X7VL33_AMPQE	unreviewed	Uncharacterized protein	109580176	Amphimedon queenslandica (Sponge)	143		
XP_001637733.1	A7RS13	A7RS13_NEMVE	unreviewed	V-type proton ATPase proteolipid subunit	v1g162114	Nematostella vectensis (Starlet sea anemone)	156	integral component of membrane [GO:0016021]; proton-transporting V-type ATPase, V0 domain [GO:0033179]; vacuolar membrane [GO:0005774]; proton-transporting ATPase activity, rotational mechanism [GO:0046961]	GO:0005774; GO:0016021; GO:0033179; GO:0046961
XP_031550052.1	A0A6P8HBI6	A0A6P8HBI6_ACTTE	unreviewed	uncharacterized protein LOC116287509	LOC116287509	Actinia tenebrosa (Australian red waratah sea anemone)	672		
XP_019618352.1	A0A6P4YHX3	A0A6P4YHX3_BRABE	unreviewed	fibrillin-2-like isoform X17	LOC109465484	Branchiostoma belcheri (Amphioxus)	4431	calcium ion binding [GO:0005509]	GO:0005509
XP_001630155.1	A7SDY5	A7SDY5_NEMVE	unreviewed	Predicted protein	v1g244592	Nematostella vectensis (Starlet sea anemone)	202	ubiquitin protein ligase activity [GO:0061630]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]	GO:0043161; GO:0061630
XP_031572979.1	A0A6P8J0J8	A0A6P8J0J8_ACTTE	unreviewed	uncharacterized protein LOC116306984	LOC116306984	Actinia tenebrosa (Australian red waratah sea anemone)	448		
XP_001636019.1	A7RX31	A7RX31_NEMVE	unreviewed	Succinate--CoA ligase [GDP-forming] subunit beta, mitochondrial (EC 6.2.1.4) (GTP-specific succinyl-CoA synthetase subunit beta) (G-SCS) (GTPSCS) (Succinyl-CoA synthetase beta-G chain) (SCS-betaG)	v1g163681	Nematostella vectensis (Starlet sea anemone)	435	mitochondrion [GO:0005739]; succinate-CoA ligase complex [GO:0042709]; ATP binding [GO:0005524]; GTP binding [GO:0005525]; magnesium ion binding [GO:0000287]; succinate-CoA ligase (ADP-forming) activity [GO:0004775]; succinate-CoA ligase (GDP-forming) activity [GO:0004776]; succinyl-CoA metabolic process [GO:0006104]; tricarboxylic acid cycle [GO:0006099]	GO:0000287; GO:0004775; GO:0004776; GO:0005524; GO:0005525; GO:0005739; GO:0006099; GO:0006104; GO:0042709
XP_001626071.1	A7SQR1	A7SQR1_NEMVE	unreviewed	DNA replication licensing factor MCM6 (EC 3.6.4.12)	v1g192492	Nematostella vectensis (Starlet sea anemone)	821	MCM complex [GO:0042555]; nucleus [GO:0005634]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0140603]; DNA helicase activity [GO:0003678]; DNA replication origin binding [GO:0003688]; single-stranded DNA binding [GO:0003697]; DNA replication initiation [GO:0006270]; DNA unwinding involved in DNA replication [GO:0006268]; double-strand break repair via break-induced replication [GO:0000727]; mitotic DNA replication [GO:1902969]; pre-replicative complex assembly involved in nuclear cell cycle DNA replication [GO:0006267]	GO:0000727; GO:0003678; GO:0003688; GO:0003697; GO:0005524; GO:0005634; GO:0006267; GO:0006268; GO:0006270; GO:0042555; GO:0140603; GO:1902969
XP_019618381.1	A0A6P4YMK0	A0A6P4YMK0_BRABE	unreviewed	fibrillin-2-like isoform X43	LOC109465484	Branchiostoma belcheri (Amphioxus)	4346	calcium ion binding [GO:0005509]	GO:0005509
XP_002166949.2	T2MEX6	T2MEX6_HYDVU	unreviewed	Growth factor receptor-bound protein 2	GRB2	Hydra vulgaris (Hydra) (Hydra attenuata)	215		
XP_031549830.1	A0A6P8HBG2	A0A6P8HBG2_ACTTE	unreviewed	Vacuolar protein sorting-associated protein 28 homolog	LOC116287306	Actinia tenebrosa (Australian red waratah sea anemone)	221	ESCRT I complex [GO:0000813]; protein transport to vacuole involved in ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway [GO:0043328]	GO:0000813; GO:0043328
YP_004581265.1	F8ULZ5	F8ULZ5_FIMAN	unreviewed	NADH-ubiquinone oxidoreductase chain 5 (EC 7.1.1.2)	ND5	Fimbriaphyllia ancora (Hammer coral) (Euphyllia ancora)	611	integral component of membrane [GO:0016021]; mitochondrial inner membrane [GO:0005743]; NADH dehydrogenase (ubiquinone) activity [GO:0008137]; ATP synthesis coupled electron transport [GO:0042773]	GO:0005743; GO:0008137; GO:0016021; GO:0042773
XP_031560310.1	A0A6P8I6H4	A0A6P8I6H4_ACTTE	unreviewed	DNA replication licensing factor MCM4 (EC 3.6.4.12)	LOC116296434	Actinia tenebrosa (Australian red waratah sea anemone)	878	MCM complex [GO:0042555]; nucleus [GO:0005634]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0140603]; DNA binding [GO:0003677]; DNA helicase activity [GO:0003678]; DNA replication initiation [GO:0006270]	GO:0003677; GO:0003678; GO:0005524; GO:0005634; GO:0006270; GO:0042555; GO:0140603
XP_013415568.1	A0A1S3JYV3	A0A1S3JYV3_LINUN	unreviewed	uncharacterized protein LOC106177367 isoform X6	LOC106177367	Lingula unguis	388		
XP_031558106.1	A0A6P8HR98	A0A6P8HR98_ACTTE	unreviewed	nucleoside diphosphate-linked moiety X motif 17-like isoform X1	LOC116294610	Actinia tenebrosa (Australian red waratah sea anemone)	348	hydrolase activity [GO:0016787]	GO:0016787
XP_003722448.1	E9AEM8	E9AEM8_LEIMA	unreviewed	Proteophosphoglycan ppg4	LMJF_35_0520	Leishmania major	7194	integral component of membrane [GO:0016021]; membrane [GO:0016020]; transmembrane signaling receptor activity [GO:0004888]; immune response [GO:0006955]; toll-like receptor signaling pathway [GO:0002224]	GO:0002224; GO:0004888; GO:0006955; GO:0016020; GO:0016021
XP_031565219.1	A0A6P8I9G3	A0A6P8I9G3_ACTTE	unreviewed	uncharacterized protein LOC116300483 isoform X1	LOC116300483	Actinia tenebrosa (Australian red waratah sea anemone)	257		
XP_031563975.1	A0A6P8IE31	A0A6P8IE31_ACTTE	unreviewed	uncharacterized protein LOC116299457	LOC116299457	Actinia tenebrosa (Australian red waratah sea anemone)	185	nucleic acid binding [GO:0003676]; DNA integration [GO:0015074]	GO:0003676; GO:0015074
XP_009051709.1	V4C844	V4C844_LOTGI	unreviewed	Uncharacterized protein	LOTGIDRAFT_228404	Lottia gigantea (Giant owl limpet)	8714	integral component of membrane [GO:0016021]	GO:0016021
XP_001568166.1	A4HM86	A4HM86_LEIBR	unreviewed	Proteophosphoglycan ppg4	LBRM_34_0530	Leishmania braziliensis	4324	integral component of membrane [GO:0016021]; transmembrane signaling receptor activity [GO:0004888]; immune response [GO:0006955]; toll-like receptor signaling pathway [GO:0002224]	GO:0002224; GO:0004888; GO:0006955; GO:0016021
XP_031554359.1	A0A6P8HD87	A0A6P8HD87_ACTTE	unreviewed	tetratricopeptide repeat protein 28-like isoform X2	LOC116291326	Actinia tenebrosa (Australian red waratah sea anemone)	1470		
XP_031552506.1	A0A6P8HA91	A0A6P8HA91_ACTTE	unreviewed	Reverse transcriptase	LOC116289693	Actinia tenebrosa (Australian red waratah sea anemone)	1144	aspartic-type endopeptidase activity [GO:0004190]; nucleic acid binding [GO:0003676]; zinc ion binding [GO:0008270]; DNA integration [GO:0015074]	GO:0003676; GO:0004190; GO:0008270; GO:0015074
XP_031566562.1	A0A6P8IID2	A0A6P8IID2_ACTTE	unreviewed	uncharacterized protein LOC116301615	LOC116301615	Actinia tenebrosa (Australian red waratah sea anemone)	1655	extracellular region [GO:0005576]; nematocyst [GO:0042151]; serine-type endopeptidase activity [GO:0004252]; toxin activity [GO:0090729]	GO:0004252; GO:0005576; GO:0042151; GO:0090729
XP_019618362.1	A0A6P4YHY7	A0A6P4YHY7_BRABE	unreviewed	fibrillin-2-like isoform X26	LOC109465484	Branchiostoma belcheri (Amphioxus)	4429	calcium ion binding [GO:0005509]	GO:0005509
XP_019629852.1	A0A6P4ZFH8	A0A6P4ZFH8_BRABE	unreviewed	cubilin-like	LOC109474081	Branchiostoma belcheri (Amphioxus)	3499	calcium ion binding [GO:0005509]	GO:0005509
XP_003886575.1	E8NHH4	E8NHH4_LEIMU	unreviewed	WGS CADB00000000 data, contig 29 (Fragment)	LmxM_34_0500a_1	Leishmania mexicana (strain MHOM/GT/2001/U1103)	3966		
XP_019630349.1	A0A6P4Z8Y8	A0A6P4Z8Y8_BRABE	unreviewed	LOW QUALITY PROTEIN: SCO-spondin-like	LOC109474501	Branchiostoma belcheri (Amphioxus)	1330	integral component of membrane [GO:0016021]	GO:0016021
XP_031562516.1	A0A6P8I4W3	A0A6P8I4W3_ACTTE	unreviewed	uncharacterized protein LOC116298266	LOC116298266	Actinia tenebrosa (Australian red waratah sea anemone)	558	hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds [GO:0016810]	GO:0016810
XP_031568694.1	A0A6P8IP81	A0A6P8IP81_ACTTE	unreviewed	uncharacterized protein LOC116303309	LOC116303309	Actinia tenebrosa (Australian red waratah sea anemone)	479		
XP_026283882.1	A0A6J1SSN2	A0A6J1SSN2_FRAOC	unreviewed	putative SERF-like protein	LOC113210220	Frankliniella occidentalis (Western flower thrips) (Euthrips occidentalis)	65		
XP_013403439.1	A0A1S3K4X0	A0A1S3K4X0_LINUN	unreviewed	Proteasome subunit beta	LOC106178603 LOC106168797	Lingula unguis	235	cytoplasm [GO:0005737]; nucleus [GO:0005634]; proteasome core complex [GO:0005839]; threonine-type endopeptidase activity [GO:0004298]; proteolysis involved in cellular protein catabolic process [GO:0051603]	GO:0004298; GO:0005634; GO:0005737; GO:0005839; GO:0051603
XP_019613710.1	A0A6P4XB96	A0A6P4XB96_BRABE	unreviewed	fibrillin-1-like	LOC109461759	Branchiostoma belcheri (Amphioxus)	2581	calcium ion binding [GO:0005509]	GO:0005509
XP_031551834.1	A0A6P8H626	A0A6P8H626_ACTTE	unreviewed	uncharacterized protein LOC116289084	LOC116289084	Actinia tenebrosa (Australian red waratah sea anemone)	122		
XP_031573314.1	A0A6P8J1F3	A0A6P8J1F3_ACTTE	unreviewed	uncharacterized protein LOC116307287	LOC116307287	Actinia tenebrosa (Australian red waratah sea anemone)	349		
XP_001632939.1	A7S5W5	A7S5W5_NEMVE	unreviewed	Predicted protein	v1g186039	Nematostella vectensis (Starlet sea anemone)	584	axoneme [GO:0005930]; BBSome [GO:0034464]; centrosome [GO:0005813]; ciliary basal body [GO:0036064]; patched binding [GO:0005113]; smoothened binding [GO:0005119]; non-motile cilium assembly [GO:1905515]; protein localization to cilium [GO:0061512]	GO:0005113; GO:0005119; GO:0005813; GO:0005930; GO:0034464; GO:0036064; GO:0061512; GO:1905515
XP_001638352.1	A7RQH8	A7RQH8_NEMVE	unreviewed	Histone H2A	v1g180812	Nematostella vectensis (Starlet sea anemone)	127	nucleosome [GO:0000786]; nucleus [GO:0005634]; DNA binding [GO:0003677]; protein heterodimerization activity [GO:0046982]; chromatin silencing [GO:0006342]	GO:0000786; GO:0003677; GO:0005634; GO:0006342; GO:0046982
XP_031570336.1	A0A6P8IT15	A0A6P8IT15_ACTTE	unreviewed	uncharacterized protein LOC116304705	LOC116304705	Actinia tenebrosa (Australian red waratah sea anemone)	167		
XP_031563623.1	A0A6P8I6N0	A0A6P8I6N0_ACTTE	unreviewed	uncharacterized protein LOC116299130	LOC116299130	Actinia tenebrosa (Australian red waratah sea anemone)	349	DNA binding [GO:0003677]; DNA integration [GO:0015074]; DNA recombination [GO:0006310]	GO:0003677; GO:0006310; GO:0015074
XP_018735943.1	A0A167DZ88	A0A167DZ88_9ASCO	unreviewed	Cell surface glycoprotein (Predicted)	AWJ20_1759	Sugiyamaella lignohabitans	2425		
XP_031556751.1	A0A6P8HLZ0	A0A6P8HLZ0_ACTTE	unreviewed	collagen alpha-1(I) chain-like	LOC116293465	Actinia tenebrosa (Australian red waratah sea anemone)	1329	collagen trimer [GO:0005581]; integral component of membrane [GO:0016021]; voltage-gated potassium channel activity [GO:0005249]	GO:0005249; GO:0005581; GO:0016021
XP_023930594.1	A0A2R2MK42	A0A2R2MK42_LINUN	unreviewed	fibropellin-1-like	LOC106166764	Lingula unguis	890	calcium ion binding [GO:0005509]	GO:0005509
XP_019619651.1	A0A6P4YQY2	A0A6P4YQY2_BRABE	unreviewed	uncharacterized protein LOC109466379	LOC109466379	Branchiostoma belcheri (Amphioxus)	477	ATP binding [GO:0005524]; metal ion binding [GO:0046872]	GO:0005524; GO:0046872
XP_026103608.1	A0A6P6N5B6	A0A6P6N5B6_CARAU	unreviewed	NACHT, LRR and PYD domains-containing protein 12-like isoform X2	LOC113075098	Carassius auratus (Goldfish)	1527		
XP_031557008.1	A0A6P8HPK6	A0A6P8HPK6_ACTTE	unreviewed	uncharacterized protein LOC116293688	LOC116293688	Actinia tenebrosa (Australian red waratah sea anemone)	378	DNA binding [GO:0003677]; metal ion binding [GO:0046872]	GO:0003677; GO:0046872
XP_031567314.1	A0A6P8IKJ8	A0A6P8IKJ8_ACTTE	unreviewed	Pyruvate carboxylase (EC 6.4.1.1)	LOC116302224	Actinia tenebrosa (Australian red waratah sea anemone)	1197	ATP binding [GO:0005524]; biotin binding [GO:0009374]; metal ion binding [GO:0046872]; pyruvate carboxylase activity [GO:0004736]; gluconeogenesis [GO:0006094]; pyruvate metabolic process [GO:0006090]	GO:0004736; GO:0005524; GO:0006090; GO:0006094; GO:0009374; GO:0046872
XP_031575111.1	A0A6P8J4W8	A0A6P8J4W8_ACTTE	unreviewed	lysosomal alpha-glucosidase-like	LOC116308764	Actinia tenebrosa (Australian red waratah sea anemone)	905	membrane [GO:0016020]; carbohydrate binding [GO:0030246]; hydrolase activity, hydrolyzing O-glycosyl compounds [GO:0004553]; carbohydrate metabolic process [GO:0005975]	GO:0004553; GO:0005975; GO:0016020; GO:0030246
XP_031558062.1	A0A6P8HZM5	A0A6P8HZM5_ACTTE	unreviewed	pre-mRNA-splicing factor ATP-dependent RNA helicase DHX16-like	LOC116294575	Actinia tenebrosa (Australian red waratah sea anemone)	1029	ATP binding [GO:0005524]; hydrolase activity [GO:0016787]; nucleic acid binding [GO:0003676]; RNA helicase activity [GO:0003724]	GO:0003676; GO:0003724; GO:0005524; GO:0016787
XP_001635981.1	A7RX83	A7RX83_NEMVE	unreviewed	Predicted protein	v1g163756	Nematostella vectensis (Starlet sea anemone)	309	Golgi apparatus [GO:0005794]; integral component of membrane [GO:0016021]; antiporter activity [GO:0015297]; nucleotide-sugar transmembrane transporter activity [GO:0005338]	GO:0005338; GO:0005794; GO:0015297; GO:0016021
NP_001310111.1	I0IY48	I0IY48_ACRDI	unreviewed	Fluorescent protein 8	AdiFP8	Acropora digitifera (Staghorn coral)	214	bioluminescence [GO:0008218]	GO:0008218
XP_028365134.1	A0A6J2LDP8	A0A6J2LDP8_9CHIR	unreviewed	Peptidyl-prolyl cis-trans isomerase (PPIase) (EC 5.2.1.8)	PPIL3 HJG60_015379	Phyllostomus discolor (pale spear-nosed bat)	161	spliceosomal complex [GO:0005681]; peptidyl-prolyl cis-trans isomerase activity [GO:0003755]; protein folding [GO:0006457]; RNA splicing [GO:0008380]	GO:0003755; GO:0005681; GO:0006457; GO:0008380
XP_030080011.1	A0A6J2SSB5	A0A6J2SSB5_DROHY	unreviewed	mucin-2	LOC111593014	Drosophila hydei (Fruit fly)	3547		
XP_001635137.1	A7RZE3	A7RZE3_NEMVE	unreviewed	Predicted protein	v1g204419	Nematostella vectensis (Starlet sea anemone)	325	integral component of membrane [GO:0016021]; G protein-coupled receptor activity [GO:0004930]	GO:0004930; GO:0016021
XP_031552557.1	A0A6P8HIR8	A0A6P8HIR8_ACTTE	unreviewed	HMG domain-containing protein 3-like isoform X2	LOC116289753	Actinia tenebrosa (Australian red waratah sea anemone)	776		
XP_001640743.1	A7RIC3	A7RIC3_NEMVE	unreviewed	Ornithine--oxo-acid aminotransferase (EC 2.6.1.13)	v1g159041	Nematostella vectensis (Starlet sea anemone)	431	cytoplasm [GO:0005737]; identical protein binding [GO:0042802]; ornithine(lysine) transaminase activity [GO:0050155]; ornithine-oxo-acid transaminase activity [GO:0004587]; pyridoxal phosphate binding [GO:0030170]; arginine catabolic process to glutamate [GO:0019544]; arginine catabolic process to proline via ornithine [GO:0010121]; L-proline biosynthetic process [GO:0055129]	GO:0004587; GO:0005737; GO:0010121; GO:0019544; GO:0030170; GO:0042802; GO:0050155; GO:0055129
XP_001422126.1	A4S9U2	A4S9U2_OSTLU	unreviewed	SRP40_C domain-containing protein	OSTLU_28315	Ostreococcus lucimarinus (strain CCE9901)	494		
XP_031557006.1	A0A6P8HMS7	A0A6P8HMS7_ACTTE	unreviewed	aldehyde dehydrogenase family 16 member A1-like	LOC116293681	Actinia tenebrosa (Australian red waratah sea anemone)	847	oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor [GO:0016620]	GO:0016620
XP_003098186.1	E3N094	E3N094_CAERE	unreviewed	CRE-GRL-25 protein	Cre-grl-25 CRE_12207	Caenorhabditis remanei (Caenorhabditis vulgaris)	806		
XP_031566951.1	A0A6P8IJA7	A0A6P8IJA7_ACTTE	unreviewed	uncharacterized protein LOC116301921	LOC116301921	Actinia tenebrosa (Australian red waratah sea anemone)	563		
XP_031561288.1	A0A6P8I0N1	A0A6P8I0N1_ACTTE	unreviewed	UDP-glucuronosyltransferase 2B15-like isoform X2	LOC116297237	Actinia tenebrosa (Australian red waratah sea anemone)	522	integral component of membrane [GO:0016021]; UDP-glycosyltransferase activity [GO:0008194]	GO:0008194; GO:0016021
XP_031562963.1	A0A6P8I4Y6	A0A6P8I4Y6_ACTTE	unreviewed	2-deoxy-D-ribose 5-phosphate aldolase (EC 4.1.2.4) (Phosphodeoxyriboaldolase)	LOC116298584	Actinia tenebrosa (Australian red waratah sea anemone)	321	cytoplasm [GO:0005737]; deoxyribose-phosphate aldolase activity [GO:0004139]; deoxyribonucleotide catabolic process [GO:0009264]; deoxyribose phosphate catabolic process [GO:0046386]	GO:0004139; GO:0005737; GO:0009264; GO:0046386
XP_031563831.1	A0A6P8I9B7	A0A6P8I9B7_ACTTE	unreviewed	exportin-1-like isoform X2	LOC116299231	Actinia tenebrosa (Australian red waratah sea anemone)	1070	nucleus [GO:0005634]; nuclear export signal receptor activity [GO:0005049]; small GTPase binding [GO:0031267]; intracellular protein transport [GO:0006886]	GO:0005049; GO:0005634; GO:0006886; GO:0031267
XP_006024241.1	A0A1U7RUL5	A0A1U7RUL5_ALLSI	unreviewed	Histone H4	LOC102385673	Alligator sinensis (Chinese alligator)	103	nucleosome [GO:0000786]; nucleus [GO:0005634]; DNA binding [GO:0003677]; protein heterodimerization activity [GO:0046982]; DNA-templated transcription, initiation [GO:0006352]	GO:0000786; GO:0003677; GO:0005634; GO:0006352; GO:0046982
XP_019618351.1	A0A6P4YMH0	A0A6P4YMH0_BRABE	unreviewed	fibrillin-2-like isoform X16	LOC109465484	Branchiostoma belcheri (Amphioxus)	4431	calcium ion binding [GO:0005509]	GO:0005509
XP_031555392.1	A0A6P8HRS5	A0A6P8HRS5_ACTTE	unreviewed	Diacylglycerol kinase (DAG kinase) (EC 2.7.1.107)	LOC116292254	Actinia tenebrosa (Australian red waratah sea anemone)	948	membrane [GO:0016020]; ATP binding [GO:0005524]; diacylglycerol kinase activity [GO:0004143]; NAD+ kinase activity [GO:0003951]; intracellular signal transduction [GO:0035556]; protein kinase C-activating G protein-coupled receptor signaling pathway [GO:0007205]	GO:0003951; GO:0004143; GO:0005524; GO:0007205; GO:0016020; GO:0035556
XP_019835907.1	A0A6P5DFK4	A0A6P5DFK4_BOSIN	unreviewed	Clathrin heavy chain	CLTC	Bos indicus (Zebu)	1655	clathrin coat of coated pit [GO:0030132]; clathrin coat of trans-Golgi network vesicle [GO:0030130]; clathrin complex [GO:0071439]; clathrin light chain binding [GO:0032051]; structural molecule activity [GO:0005198]; intracellular protein transport [GO:0006886]; vesicle-mediated transport [GO:0016192]	GO:0005198; GO:0006886; GO:0016192; GO:0030130; GO:0030132; GO:0032051; GO:0071439
XP_031550031.1	A0A6P8H3J9	A0A6P8H3J9_ACTTE	unreviewed	uncharacterized protein LOC116287487 isoform X1	LOC116287487	Actinia tenebrosa (Australian red waratah sea anemone)	432		
XP_014009228.1	A0A1S3N175	A0A1S3N175_SALSA	unreviewed	uncharacterized protein LOC106576531	LOC106576531	Salmo salar (Atlantic salmon)	1238	integral component of membrane [GO:0016021]; calcium ion binding [GO:0005509]	GO:0005509; GO:0016021
XP_019645838.1	A0A6P5A8A7	A0A6P5A8A7_BRABE	unreviewed	Chitinase (EC 3.2.1.14)	LOC109486449	Branchiostoma belcheri (Amphioxus)	1491	extracellular region [GO:0005576]; calcium ion binding [GO:0005509]; chitin binding [GO:0008061]; chitinase activity [GO:0004568]	GO:0004568; GO:0005509; GO:0005576; GO:0008061
XP_031570279.1	A0A6P8ITE9	A0A6P8ITE9_ACTTE	unreviewed	vesicle-associated membrane protein 3-like	LOC116304659	Actinia tenebrosa (Australian red waratah sea anemone)	107	integral component of membrane [GO:0016021]; vesicle-mediated transport [GO:0016192]	GO:0016021; GO:0016192
XP_015778754.1	A0A0A8K8R9	A0A0A8K8R9_ACRDI	unreviewed	Orthodenticle homeobox B protein	AdiOtxB	Acropora digitifera (Staghorn coral)	230	nucleus [GO:0005634]; DNA binding [GO:0003677]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]	GO:0000981; GO:0003677; GO:0005634
YP_004581311.1	F8UM41	F8UM41_9CNID	unreviewed	Cytochrome c oxidase subunit 3	COX3	Porites okinawensis (hump coral)	262	integral component of membrane [GO:0016021]; mitochondrion [GO:0005739]; cytochrome-c oxidase activity [GO:0004129]; aerobic electron transport chain [GO:0019646]	GO:0004129; GO:0005739; GO:0016021; GO:0019646
XP_031550271.1	A0A6P8H3Y2	A0A6P8H3Y2_ACTTE	unreviewed	keratin-associated protein 10-6-like	LOC116287723	Actinia tenebrosa (Australian red waratah sea anemone)	518		
XP_031555628.1	A0A6P8HL31	A0A6P8HL31_ACTTE	unreviewed	CCR4-NOT transcription complex subunit 7 (EC 3.1.13.4) (CCR4-associated factor 1)	LOC116292440	Actinia tenebrosa (Australian red waratah sea anemone)	277	CCR4-NOT complex [GO:0030014]; nucleus [GO:0005634]; nucleic acid binding [GO:0003676]; poly(A)-specific ribonuclease activity [GO:0004535]; regulation of translation [GO:0006417]	GO:0003676; GO:0004535; GO:0005634; GO:0006417; GO:0030014
XP_019618370.1	A0A6P4XNV8	A0A6P4XNV8_BRABE	unreviewed	fibrillin-2-like isoform X33	LOC109465484	Branchiostoma belcheri (Amphioxus)	4390	calcium ion binding [GO:0005509]	GO:0005509
XP_018738373.1	A0A167FZB3	A0A167FZB3_9ASCO	unreviewed	Uncharacterized protein	AWJ20_3540	Sugiyamaella lignohabitans	1114		
XP_031571115.1	A0A6P8IZ92	A0A6P8IZ92_ACTTE	unreviewed	uncharacterized protein LOC116305362	LOC116305362	Actinia tenebrosa (Australian red waratah sea anemone)	5933	metalloendopeptidase activity [GO:0004222]; zinc ion binding [GO:0008270]	GO:0004222; GO:0008270
XP_030080110.1	A0A6J2SVC8	A0A6J2SVC8_DROHY	unreviewed	uncharacterized protein LOC111592777 isoform X1	LOC111592777	Drosophila hydei (Fruit fly)	3216	extracellular region [GO:0005576]; chitin binding [GO:0008061]	GO:0005576; GO:0008061
XP_013388856.1	A0A1S3HTI2	A0A1S3HTI2_LINUN	unreviewed	serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit B-like	LOC106157680	Lingula unguis	858	signal transduction [GO:0007165]	GO:0007165
XP_001629302.1	A7SGB1	A7SGB1_NEMVE	unreviewed	Predicted protein	v1g170313	Nematostella vectensis (Starlet sea anemone)	315		
XP_031557290.1	A0A6P8HXA0	A0A6P8HXA0_ACTTE	unreviewed	uncharacterized protein LOC116293928	LOC116293928	Actinia tenebrosa (Australian red waratah sea anemone)	363		
XP_031554698.1	A0A6P8HIF8	A0A6P8HIF8_ACTTE	unreviewed	uncharacterized protein LOC116291652	LOC116291652	Actinia tenebrosa (Australian red waratah sea anemone)	524	integral component of membrane [GO:0016021]; hexosyltransferase activity [GO:0016758]; protein glycosylation [GO:0006486]	GO:0006486; GO:0016021; GO:0016758
XP_001630169.1	A7SE06	A7SE06_NEMVE	unreviewed	Glutamate dehydrogenase	v1g169502	Nematostella vectensis (Starlet sea anemone)	449	cytosol [GO:0005829]; glutamate dehydrogenase (NAD+) activity [GO:0004352]; glutamate dehydrogenase (NADP+) activity [GO:0004354]; nucleotide binding [GO:0000166]; glutamate biosynthetic process [GO:0006537]	GO:0000166; GO:0004352; GO:0004354; GO:0005829; GO:0006537
XP_031563613.1	A0A6P8I6M0	A0A6P8I6M0_ACTTE	unreviewed	ankyrin repeat and SOCS box protein 7-like	LOC116299117	Actinia tenebrosa (Australian red waratah sea anemone)	331	intracellular signal transduction [GO:0035556]	GO:0035556
XP_031566771.1	A0A6P8IIT5	A0A6P8IIT5_ACTTE	unreviewed	transformer-2 protein homolog beta-like	LOC116301794	Actinia tenebrosa (Australian red waratah sea anemone)	264	RNA binding [GO:0003723]	GO:0003723
XP_001624814.1	A7SUB4	A7SUB4_NEMVE	unreviewed	Predicted protein	v1g174414	Nematostella vectensis (Starlet sea anemone)	676	centrosome [GO:0005813]; cilium [GO:0005929]; intraciliary transport particle B [GO:0030992]; tubulin binding [GO:0015631]; cilium assembly [GO:0060271]; intraciliary transport [GO:0042073]	GO:0005813; GO:0005929; GO:0015631; GO:0030992; GO:0042073; GO:0060271
