yourlistU	UPA	Organisms	UniProtKB	First seen	Last seen	Length
XP_022790328.1	UPI000C0540DE	Stylophora pistillata (Smooth cauliflower coral)		2017-10-26	2021-07-12	334
XP_029181734.1	UPI0010FC8375	Acropora millepora (Staghorn coral) (Heteropora millepora)		2019-05-26	2021-07-12	326
XP_015752275.1	UPI00077A3FCB	Acropora digitifera (Staghorn coral)		2016-03-15	2021-07-12	399
XP_020603209.1	UPI0009E4D6CD	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	490
XP_020619155.1	UPI0009E65DD9	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	357
XP_020622235.1	UPI0009E2C812	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	444
XP_020604016.1	UPI0009E56783	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	216
XP_027036309.1	UPI000F551A8D	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)		2018-12-01	2021-07-12	188
XP_020629004.1	UPI0009E5C52B	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	885
XP_027041562.1	UPI000F3DC308	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	A0A3M6UMV2; 	2018-11-13	2021-09-29	414
XP_020622659.1	UPI0009E2C98C	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	615
XP_020620080.1	UPI0009E243E2	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	2384
XP_029204853.1	UPI0010FC7FE3	Acropora millepora (Staghorn coral) (Heteropora millepora)		2019-05-26	2021-07-12	355
XP_020617903.1	UPI0009E49A09	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	244
XP_020625304.1	UPI0009E29886	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	1404
XP_022803629.1	UPI000C01248B	Stylophora pistillata (Smooth cauliflower coral)	A0A2B4RJH9; 	2017-10-24	2021-09-29	355
XP_015765467.1	UPI00077A32E8	Acropora digitifera (Staghorn coral)		2016-03-15	2021-07-12	332
XP_022783331.1	UPI000C04C8B4	Stylophora pistillata (Smooth cauliflower coral)		2017-10-26	2021-07-12	677
XP_020624727.1	UPI0009E273BF	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	603
XP_022786675.1	UPI000C03C0E5	Stylophora pistillata (Smooth cauliflower coral)		2017-10-26	2021-07-12	275
XP_015751431.1	UPI00077AC5DB	Acropora digitifera (Staghorn coral)		2016-03-15	2021-07-12	1114
XP_020618812.1	UPI0009E37B1B	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	292
XP_022787693.1	UPI000C044F78	Stylophora pistillata (Smooth cauliflower coral)		2017-10-26	2021-07-12	285
XP_027060424.1	UPI000F3F7FE8	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	A0A3M6UII9; 	2018-11-13	2021-09-29	332
XP_015770106.1	UPI00077A3329	Acropora digitifera (Staghorn coral)		2016-03-15	2021-07-12	357
XP_015778904.1	UPI00077A72A3	Acropora digitifera (Staghorn coral)		2016-03-15	2021-07-12	224
XP_020631653.1	UPI0009E3754D	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	355
XP_020609262.1	UPI0009E29073	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	1028
XP_020600596.1	UPI0009E575DD	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	534
XP_020614198.1	UPI0009E55FB8	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	104
XP_020608999.1	UPI0009E529FF	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	695
XP_020612407.1	UPI0009E2D3B9	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	443
XP_015774705.1	UPI00077AFE74	Acropora digitifera (Staghorn coral)		2016-03-15	2021-07-12	1726
XP_015765678.1	UPI00077A1FA1	Acropora digitifera (Staghorn coral)		2016-03-15	2021-07-12	699
XP_020623303.1	UPI0009E65BDF	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	227
XP_020615416.1	UPI0009E452AA	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	177
XP_022796325.1	UPI000C04646E	Stylophora pistillata (Smooth cauliflower coral)		2017-10-26	2021-07-12	928
XP_015758975.1	UPI00077A93C1	Acropora digitifera (Staghorn coral)		2016-03-15	2021-07-12	1867
XP_027044398.1	UPI000F41A1A2	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	A0A3M6TW48; 	2018-11-13	2021-09-29	200
XP_020632591.1	UPI0009E54D1B	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	412
XP_027058358.1	UPI000F54E5E0	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)		2018-12-01	2021-07-12	2743
XP_029189741.1	UPI0010FCD7A1	Acropora millepora (Staghorn coral) (Heteropora millepora)		2019-05-26	2021-07-12	244
XP_020616678.1	UPI0009E62985	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	495
XP_022800438.1	UPI000C052939	Stylophora pistillata (Smooth cauliflower coral)		2017-10-26	2021-07-12	1420
XP_020632811.1	UPI0009E291F8	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	265
XP_020602705.1	UPI0009E1A1C9	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	246
XP_022802643.1	UPI000C00AB5F	Stylophora pistillata (Smooth cauliflower coral)	A0A2B4RP00; 	2017-10-24	2021-09-29	238
XP_020614857.1	UPI0009E2C0F2	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	720
XP_029207187.1	UPI0010FC97DE	Acropora millepora (Staghorn coral) (Heteropora millepora)		2019-05-26	2021-07-12	279
XP_020623957.1	UPI0009E411AB	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	396
XP_020615012.1	UPI0009E1D33C	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	406
XP_022780357.1	UPI000C008422	Stylophora pistillata (Smooth cauliflower coral)	A0A2B4ST78; 	2017-10-24	2021-09-29	1887
XP_022784886.1	UPI000C04A46B	Stylophora pistillata (Smooth cauliflower coral)		2017-10-26	2021-07-12	1055
XP_022802351.1	UPI000C047E42	Stylophora pistillata (Smooth cauliflower coral)		2017-10-26	2021-07-12	284
XP_020601829.1	UPI0009E4E70C	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	240
XP_020603253.1	UPI0009E2FE6B	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	427
XP_027043448.1	UPI000F556251	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)		2018-12-01	2021-07-12	1409
XP_020630359.1	UPI0009E36684	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	594
XP_020612028.1	UPI0009E65DFE	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	785
XP_029196808.1	UPI0010FC94C9	Acropora millepora (Staghorn coral) (Heteropora millepora)		2019-05-26	2021-07-12	229
XP_020603111.1	UPI0009E30D05	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	323
XP_020604634.1	UPI0009E385AE	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	333
XP_022807377.1	UPI000C047582	Stylophora pistillata (Smooth cauliflower coral)		2017-10-26	2021-07-12	338
XP_020605774.1	UPI0009E65D2A	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	237
XP_027050955.1	UPI000F54D1C0	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)		2018-12-01	2021-07-12	267
XP_020626613.1	UPI0009E4398D	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	388
XP_020629568.1	UPI0009E4132D	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	389
XP_020622344.1	UPI0009E5E3BA	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	426
XP_029206541.1	UPI0010FC9B71	Acropora millepora (Staghorn coral) (Heteropora millepora)		2019-05-26	2021-07-12	1018
XP_020626353.1	UPI0009E2601F	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	668
XP_015779060.1	UPI00077A3482	Acropora digitifera (Staghorn coral)		2016-03-15	2021-07-12	385
XP_022779966.1	UPI000C03BD18	Stylophora pistillata (Smooth cauliflower coral)		2017-10-26	2021-07-12	1491
XP_027048989.1	UPI000F556B77	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)		2018-12-01	2021-07-12	539
XP_022784047.1	UPI000C04DCF0	Stylophora pistillata (Smooth cauliflower coral)		2017-10-26	2021-07-12	501
XP_015755867.1	UPI00077AAE03	Acropora digitifera (Staghorn coral)		2016-03-15	2021-07-12	595
XP_020628078.1	UPI0009E55F40	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	324
XP_020629171.1	UPI0009E4F2ED	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	312
XP_015776445.1	UPI00077A8A19	Acropora digitifera (Staghorn coral)		2016-03-15	2021-07-12	545
XP_028417942.1	UPI00106CEFD9	Dendronephthya gigantea (Coral)		2019-03-30	2021-07-12	260
XP_020620861.1	UPI0009E20A88	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	192
XP_032220138.1	UPI0013905F2F	Nematostella vectensis (Starlet sea anemone)		2020-02-09	2021-07-12	563
XP_020602641.1	UPI0009E3BFE9	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	205
XP_027052604.1	UPI000F551BD5	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)		2018-12-01	2021-07-12	223
XP_022799710.1	UPI000C01875C	Stylophora pistillata (Smooth cauliflower coral)	A0A2B4RRS7; 	2017-10-24	2021-09-29	517
XP_020619849.1	UPI0009E260CA	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	264
XP_020607215.1	UPI0009E30998	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	8224
WP_147775036.1	UPI0011C98464	Brachyspira aalborgi	A0A5C8DHG1.1 (obsolete); 	2019-09-09	2021-07-29	639
XP_022804509.1	UPI000C0573D4	Stylophora pistillata (Smooth cauliflower coral)		2017-10-26	2021-07-12	641
XP_020603754.1	UPI0009E25963	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	222
XP_027041246.1	UPI000F5588ED	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)		2018-12-01	2021-07-12	1925
XP_027057269.1	UPI000F553E3B	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)		2018-12-01	2021-07-12	527
XP_020627042.1	UPI0009E3895F	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	436
XP_020608599.1	UPI0009E20708	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	1351
XP_015761822.1	UPI00077ACC2B	Acropora digitifera (Staghorn coral)		2016-03-15	2021-07-12	845
XP_027050067.1	UPI000F552BD1	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)		2018-12-01	2021-07-12	640
XP_015778486.1	UPI00077A73B0	Acropora digitifera (Staghorn coral)		2016-03-15	2021-07-12	481
XP_015750694.1	UPI00077A9510	Acropora digitifera (Staghorn coral)		2016-03-15	2021-07-12	203
XP_009668703.1	UPI00051E3D0B	Struthio camelus australis		2014-10-16	2021-07-12	729
XP_020624962.1	UPI0009E629DA	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	504
XP_020618528.1	UPI0009E5378F	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	228
XP_020610430.1	UPI0009E356E6	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	141
XP_015771101.1	UPI00077A22B1	Acropora digitifera (Staghorn coral)		2016-03-15	2021-07-12	2583
XP_020609570.1	UPI0009E22E9C	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	188
WP_160429135.1	UPI00132B5F0C	Haemophilus parasuis (Glaesserella parasuis)		2020-01-15	2021-07-27	2073
XP_022799516.1	UPI000C0471F8	Stylophora pistillata (Smooth cauliflower coral)		2017-10-26	2021-07-12	2277
XP_027035922.1	UPI000F5563B9	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)		2018-12-01	2021-07-12	1253
XP_022783709.1	UPI000C003CF7	Stylophora pistillata (Smooth cauliflower coral)	A0A2B4SMS3; 	2017-10-24	2021-09-29	240
XP_020626882.1	UPI0009E46150	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	225
XP_020632553.1	UPI0009E524D5	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	366
XP_027055730.1	UPI000F555E8B	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)		2018-12-01	2021-07-12	1544
XP_015752451.1	UPI00077B03E6	Acropora digitifera (Staghorn coral)		2016-03-15	2021-07-12	114
XP_027054035.1	UPI000F54C9E7	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)		2018-12-01	2021-07-12	485
XP_022798542.1	UPI000C0074FA	Stylophora pistillata (Smooth cauliflower coral)	A0A2B4RWJ6; 	2017-10-24	2021-09-29	319
XP_015760112.1	UPI00077B1328	Acropora digitifera (Staghorn coral)		2016-03-15	2021-07-12	388
XP_020629470.1	UPI0009E4E5FD	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	348
XP_022793124.1	UPI000C00B0BB	Stylophora pistillata (Smooth cauliflower coral)	A0A2B4S2I4; 	2017-10-24	2021-09-29	167
XP_022786601.1	UPI000C005C28	Stylophora pistillata (Smooth cauliflower coral)	A0A2B4SYN9; 	2017-10-24	2021-09-29	233
XP_027054687.1	UPI000F54E119	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)		2018-12-01	2021-07-12	623
XP_020616048.1	UPI0009E642C8	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	1187
XP_020617650.1	UPI0009E60AE0	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	559
XP_020615934.1	UPI0009E29571	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	442
XP_020606742.1	UPI0009E3B421	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	468
XP_020604855.1	UPI0009E4F549	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	665
XP_027052369.1	UPI000F3E2F8B	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	A0A3M6TCC0; 	2018-11-13	2021-09-29	309
XP_022793551.1	UPI000C01F231	Stylophora pistillata (Smooth cauliflower coral)	A0A2B4S5M2; 	2017-10-24	2021-09-29	334
XP_020610933.1	UPI0009E54B0B	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	440
XP_020613084.1	UPI0009E2309A	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	414
XP_015751007.1	UPI00077A939C	Acropora digitifera (Staghorn coral)		2016-03-15	2021-07-12	147
XP_015763096.1	UPI00077A6B3A	Acropora digitifera (Staghorn coral)		2016-03-15	2021-07-12	346
XP_020605998.1	UPI0009E374DC	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	324
XP_022781914.1	UPI000C039286	Stylophora pistillata (Smooth cauliflower coral)		2017-10-26	2021-07-12	611
XP_029213858.1	UPI0010FC6833	Acropora millepora (Staghorn coral) (Heteropora millepora)		2019-05-26	2021-07-12	720
XP_020628473.1	UPI0009E37CDB	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	124
XP_027054898.1	UPI000F557534	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)		2018-12-01	2021-07-12	278
XP_020632492.1	UPI0009E5A881	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	597
XP_020611491.1	UPI0009E520AE	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	569
XP_015774017.1	UPI00077A3BC3	Acropora digitifera (Staghorn coral)		2016-03-15	2021-07-12	212
XP_020620604.1	UPI0009E20FEF	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	423
XP_032236543.1	UPI00138FBA46	Nematostella vectensis (Starlet sea anemone)		2020-02-09	2021-07-12	237
XP_027049994.1	UPI000F555380	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)		2018-12-01	2021-07-12	664
XP_022804166.1	UPI000C038AE2	Stylophora pistillata (Smooth cauliflower coral)		2017-10-26	2021-07-12	508
XP_020612266.1	UPI0009E4F531	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	318
XP_020906192.1	UPI000A2A4998	Exaiptasia diaphana (Tropical sea anemone) (Aiptasia pulchella)		2017-05-13	2021-07-12	498
XP_020629258.1	UPI0009E2E701	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	173
XP_027042349.1	UPI000F3FF7E8	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	A0A3M6U0Y0; 	2018-11-13	2021-09-29	229
XP_020630247.1	UPI0009E1E647	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	308
XP_027054876.1	UPI000F551F6A	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)		2018-12-01	2021-07-12	477
XP_029204418.1	UPI0010FC84D4	Acropora millepora (Staghorn coral) (Heteropora millepora)		2019-05-26	2021-07-12	239
XP_015774067.1	UPI00077A5D41	Acropora digitifera (Staghorn coral)		2016-03-15	2021-07-12	369
XP_020619384.1	UPI0009E452C9	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	450
XP_020618271.1	UPI0009E57640	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	244
XP_029200095.1	UPI0010FC9DF9	Acropora millepora (Staghorn coral) (Heteropora millepora)		2019-05-26	2021-07-12	573
XP_020601420.1	UPI0009E2E0A8	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	5208
XP_020631124.1	UPI0009E50892	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	452
XP_015762821.1	UPI00077AFF15	Acropora digitifera (Staghorn coral)		2016-03-15	2021-07-12	409
XP_022803523.1	UPI000C00A8E8	Stylophora pistillata (Smooth cauliflower coral)	A0A2B4RM74; 	2017-10-24	2021-09-29	620
XP_020607394.1	UPI0009E5E47C	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	133
XP_020609962.1	UPI0009E479A4	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	1076
XP_020603975.1	UPI0009E3D59F	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	1360
XP_020609017.1	UPI0009E3C6DC	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	229
XP_022796371.1	UPI000C046FCD	Stylophora pistillata (Smooth cauliflower coral)		2017-10-26	2021-07-12	228
XP_020615871.1	UPI0009E32B91	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	554
XP_027060241.1	UPI000F55650C	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)		2018-12-01	2021-07-12	1292
XP_027047290.1	UPI000F3AF57F	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	A0A3M6TPI1; 	2018-11-13	2021-09-29	372
XP_022800605.1	UPI000C01B7EB	Stylophora pistillata (Smooth cauliflower coral)	A0A2B4RRX3; 	2017-10-24	2021-09-29	432
XP_022788874.1	UPI000C04D2A3	Stylophora pistillata (Smooth cauliflower coral)		2017-10-26	2021-07-12	148
XP_020625574.1	UPI0009E2F27D	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	408
XP_015779773.1	UPI00077AC704	Acropora digitifera (Staghorn coral)		2016-03-15	2021-07-12	477
XP_020618762.1	UPI0009E51CF2	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	272
XP_027046231.1	UPI000F54F441	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)		2018-12-01	2021-07-12	893
XP_020608947.1	UPI0009E5BFB3	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	401
XP_027051628.1	UPI000F3AE623	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	A0A3M6TE72; 	2018-11-13	2021-09-29	543
XP_022796330.1	UPI000C0197E2	Stylophora pistillata (Smooth cauliflower coral)	A0A2B4S0I0; 	2017-10-24	2021-09-29	498
XP_027060368.1	UPI000F54EA1D	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)		2018-12-01	2021-07-12	1102
XP_027037955.1	UPI000F3B9AFA	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	A0A3M6UBM4; 	2018-11-13	2021-09-29	291
XP_020616660.1	UPI0009E407E5	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	963
XP_015764242.1	UPI00077A22B8	Acropora digitifera (Staghorn coral)		2016-03-15	2021-07-12	124
XP_020623711.1	UPI0009E59E8B	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	2454
XP_036763900.1	UPI001873B6F9	Manis pentadactyla (Chinese pangolin)		2020-10-29	2021-07-12	285
XP_027058388.1	UPI000F54F28E	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)		2018-12-01	2021-07-12	610
XP_020624244.1	UPI0009E4832A	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	360
XP_027038446.1	UPI000F557FA3	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)		2018-12-01	2021-07-12	1134
XP_027035858.1	UPI000F5594F7	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)		2018-12-01	2021-07-12	831
XP_020622489.1	UPI0009E4B8F9	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	549
XP_020616109.1	UPI0009E5D578	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	331
XP_020610934.1	UPI0009E5C624	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	468
XP_029200966.1	UPI0010FC83BD	Acropora millepora (Staghorn coral) (Heteropora millepora)		2019-05-26	2021-07-12	147
XP_022797544.1	UPI000C01966D	Stylophora pistillata (Smooth cauliflower coral)	A0A2B4RVS6; 	2017-10-24	2021-09-29	1879
XP_020632499.1	UPI0009E4209F	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	341
XP_022802915.1	UPI000C03ECD1	Stylophora pistillata (Smooth cauliflower coral)		2017-10-26	2021-07-12	1188
XP_020628919.1	UPI0009E1A9FD	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	171
XP_020607527.1	UPI0009E29552	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	308
XP_020603125.1	UPI0009E4E644	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	451
XP_015769502.1	UPI00077A95FC	Acropora digitifera (Staghorn coral)		2016-03-15	2021-07-12	364
XP_020632921.1	UPI0009E38915	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	316
XP_027045178.1	UPI000F55604D	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)		2018-12-01	2021-07-12	2582
XP_020606864.1	UPI0009E1A8A7	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	430
XP_020625856.1	UPI0009E33BD1	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	315
XP_020607308.1	UPI0009E5835E	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	344
XP_020614542.1	UPI0009E63DE7	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	690
XP_020613058.1	UPI0009E52CD4	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	543
XP_022780219.1	UPI000C01078F	Stylophora pistillata (Smooth cauliflower coral)	A0A2B4SME1; 	2017-10-24	2021-09-29	482
XP_020627547.1	UPI0009E5F041	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	793
XP_029204419.1	UPI0010FCB696	Acropora millepora (Staghorn coral) (Heteropora millepora)		2019-05-26	2021-07-12	383
XP_027049593.1	UPI000F3E28F2	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	A0A3M6TIT7; 	2018-11-13	2021-09-29	247
XP_020626326.1	UPI0009E5735A	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	287
XP_020614653.1	UPI0009E4446A	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	521
XP_020615168.1	UPI0009E3D78D	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	188
XP_020616116.1	UPI0009E45335	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	1022
XP_022789236.1	UPI000C041A0E	Stylophora pistillata (Smooth cauliflower coral)		2017-10-26	2021-07-12	258
XP_032222570.1	UPI001390413B	Nematostella vectensis (Starlet sea anemone)		2020-02-09	2021-07-12	2504
XP_022787350.1	UPI000C03F7AC	Stylophora pistillata (Smooth cauliflower coral)		2017-10-26	2021-07-12	1222
XP_020625587.1	UPI0009E545FF	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	273
XP_020611246.1	UPI0009E43867	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	379
XP_020606824.1	UPI0009E2AF41	Orbicella faveolata (Mountainous star coral) (Montastraea faveolata)		2017-04-12	2021-07-12	440
XP_027044060.1	UPI000F559AA2	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)		2018-12-01	2021-07-12	335
